Country,feature_set,model,MAE,RMSE,R2,n
BEN,autoregressive,decision_tree,4.520013209171886,5.451391485146648,-1.3126204395052312,380
BEN,autoregressive,random_forest,4.542240674062352,5.533543193749124,-1.382847371516045,380
BEN,autoregressive,xgboost,4.533022675388738,5.444794781415691,-1.3070268432595866,380
BEN,autoregressive,lightgbm,4.479306495364421,5.350053596465641,-1.2274393225815303,380
BEN,drivers_only,decision_tree,6.68668223691184,9.385700812652574,-5.855245762692004,380
BEN,drivers_only,random_forest,5.748722516063902,7.048480981922251,-2.8661676387612425,380
BEN,drivers_only,xgboost,6.720228421060662,7.7659212871461065,-3.6932704965041605,380
BEN,drivers_only,lightgbm,6.710087375713287,7.619722131040165,-3.5182253210228103,380
BEN,nowcast,decision_tree,4.133487932242525,5.262132430906245,-1.1548307485000984,380
BEN,nowcast,random_forest,3.794295592384966,4.582848906238092,-0.6344088109081614,380
BEN,nowcast,xgboost,3.6838097268029264,4.377406562585204,-0.49115704983818076,380
BEN,nowcast,lightgbm,3.703970424234996,4.361799561548424,-0.4805430015579617,380
BEN,nowcast_change,decision_tree,4.165809099879176,5.042510408489344,-0.9787148969929227,380
BEN,nowcast_change,random_forest,3.7308125202136093,4.363854415475779,-0.48193830465506293,380
BEN,nowcast_change,xgboost,3.6299377949614273,4.248732651574498,-0.4047803551972837,380
BEN,nowcast_change,lightgbm,3.6633188160129353,4.256627371730915,-0.4100057493932705,380
BEN,-,persistence,2.9078947368421053,4.059102830610932,-0.28218214231630023,380
BFA,autoregressive,decision_tree,6.781745814970695,9.387280239744735,0.3769688327163102,84
BFA,autoregressive,random_forest,6.613051497260423,9.18072352014644,0.4040854024345021,84
BFA,autoregressive,xgboost,6.7939188707442515,9.174085580627189,0.4049468192985137,84
BFA,autoregressive,lightgbm,6.754962583595447,9.13558308339681,0.4099310666898671,84
BFA,drivers_only,decision_tree,8.080109916444544,10.192130255568047,0.2655535477658091,84
BFA,drivers_only,random_forest,7.754578845779315,9.753289994115166,0.3274377594628527,84
BFA,drivers_only,xgboost,7.659990319183895,9.632290096741178,0.3440219397342843,84
BFA,drivers_only,lightgbm,7.6687238590174,9.631804232993325,0.3440881146350546,84
BFA,nowcast,decision_tree,7.633533840855527,10.374015699395253,0.2391062646445653,84
BFA,nowcast,random_forest,6.240009929398323,8.378164163039754,0.5037186691862138,84
BFA,nowcast,xgboost,5.728587916919163,7.898682313609,0.5588975192786023,84
BFA,nowcast,lightgbm,5.485749984235659,7.562399946323997,0.5956574084617403,84
BFA,nowcast_change,decision_tree,6.657385264903489,9.25298414015524,0.3946677082013067,84
BFA,nowcast_change,random_forest,6.1253964375770025,8.30421764655653,0.5124404663649982,84
BFA,nowcast_change,xgboost,6.052350975218273,8.130029644054646,0.532679895705699,84
BFA,nowcast_change,lightgbm,5.6755357046987,7.763066679426648,0.573914417082604,84
BFA,-,persistence,6.7976190476190474,10.632945208620413,0.20064930185020957,84
BGD,autoregressive,decision_tree,8.412839368298723,10.992589329583343,-2.3822718705580446,66
BGD,autoregressive,random_forest,8.341037517181363,10.761975689023421,-2.2418470419586005,66
BGD,autoregressive,xgboost,8.355036995627664,10.722646484190792,-2.2181959393040405,66
BGD,autoregressive,lightgbm,8.394669195471486,10.828980887013739,-2.282340874766273,66
BGD,drivers_only,decision_tree,9.300513058951475,12.374060370556352,-3.285810531444038,66
BGD,drivers_only,random_forest,8.598776557550252,10.535005516219293,-2.10654780648234,66
BGD,drivers_only,xgboost,7.837128364678585,9.513097313546355,-1.5331002942004464,66
BGD,drivers_only,lightgbm,6.688264026365114,8.605938116642687,-1.0730269320402117,66
BGD,nowcast,decision_tree,14.800728288747754,17.60089972434127,-7.67118084715897,66
BGD,nowcast,random_forest,10.27472691285436,11.94570286752909,-2.9942194560573103,66
BGD,nowcast,xgboost,7.7241042166045215,10.338921801856477,-1.9919822157910243,66
BGD,nowcast,lightgbm,8.463426304865067,10.87748061943831,-2.3118079398038316,66
BGD,nowcast_change,decision_tree,12.980026468241418,16.211046005633463,-6.355811359816911,66
BGD,nowcast_change,random_forest,8.100953984253204,9.910135449115476,-1.748955359382586,66
BGD,nowcast_change,xgboost,6.262838479244348,8.487733084106635,-1.0164707844051981,66
BGD,nowcast_change,lightgbm,6.229284471983297,8.58416620920003,-1.0625512212898922,66
BGD,-,persistence,9.677920839165099,12.230899654767965,-3.1872154996045206,66
CAF,autoregressive,decision_tree,9.330999513935602,12.183345321722927,0.033812391082261084,324
CAF,autoregressive,random_forest,9.28772921992246,12.13569678657799,0.04135504834790493,324
CAF,autoregressive,xgboost,9.201477150858185,12.075308121757503,0.05087197230004181,324
CAF,autoregressive,lightgbm,9.241483093930805,12.100098144163226,0.04697094440310601,324
CAF,drivers_only,decision_tree,11.742454902964171,15.000705527550455,-0.4647102711587128,324
CAF,drivers_only,random_forest,9.797484600006811,12.688248012267604,-0.04792855288129094,324
CAF,drivers_only,xgboost,9.916651602144595,12.559669553672217,-0.02679745146727308,324
CAF,drivers_only,lightgbm,9.920402188290936,12.45761208461604,-0.010178130806681729,324
CAF,nowcast,decision_tree,9.14662210478068,12.160611650549873,0.037414767586067876,324
CAF,nowcast,random_forest,8.732762178300502,11.551726351668897,0.13139536923462225,324
CAF,nowcast,xgboost,8.53586138030629,11.21158645266064,0.1817943090054177,324
CAF,nowcast,lightgbm,8.516187668224763,11.074146851475364,0.2017316469737238,324
CAF,nowcast_change,decision_tree,9.206604904705285,11.995092864074346,0.06344004440929729,324
CAF,nowcast_change,random_forest,8.504356526028483,10.99578426812714,0.2129890464643751,324
CAF,nowcast_change,xgboost,8.754756485974347,10.980951237594315,0.21511092943688315,324
CAF,nowcast_change,lightgbm,8.728656297663843,10.993676931231313,0.2132906781177909,324
CAF,-,persistence,9.910697538998317,13.191840989915779,-0.13276330332972308,324
CMR,autoregressive,decision_tree,4.811596352270146,6.751893998761457,0.2853528487546244,232
CMR,autoregressive,random_forest,4.816483207810806,6.781516386064606,0.2790683919821584,232
CMR,autoregressive,xgboost,4.7012118563569825,6.673075203799613,0.30194044763528416,232
CMR,autoregressive,lightgbm,4.643360352241149,6.5415699900875985,0.3291824429778132,232
CMR,drivers_only,decision_tree,4.77191661749519,6.446357902774341,0.3485677369314736,232
CMR,drivers_only,random_forest,4.333931380533232,5.843937088922556,0.4646331205938986,232
CMR,drivers_only,xgboost,4.79609458405396,6.0715099537431385,0.42212506367726654,232
CMR,drivers_only,lightgbm,4.489799458994927,5.5627858206873615,0.5149068814167705,232
CMR,nowcast,decision_tree,5.588538112183806,7.362433211098097,0.150265655177806,232
CMR,nowcast,random_forest,4.399840475494845,6.257202698329625,0.386236745908503,232
CMR,nowcast,xgboost,4.380266132025883,6.198534279133426,0.39769225122409424,232
CMR,nowcast,lightgbm,4.24018940720448,6.081488704177648,0.42022398519144777,232
CMR,nowcast_change,decision_tree,5.5250359310132335,7.737997742683857,0.06136307849144462,232
CMR,nowcast_change,random_forest,4.502735764427532,6.459846914772875,0.34583863893985667,232
