model,autoregressive_R2,nowcast_R2,nowcast_change_R2
xgboost,0.6140194847485814,0.6806451557117146,0.6978776893838237
random_forest,0.606656428913119,0.6618737763670131,0.6850995145736469
lightgbm,0.616965036311875,0.6787134393106855,0.6938227085534743
decision_tree,0.6120857227436063,0.5777950154382722,0.5901977416966828
